AM Sangaji-JAKARTA PUSAT (KOTA),DKI JAKARTA,0,4,162,Mar 15 2018 12:00:00:000AM,1,Valid Location,08115931479,,-6.167537,B 1049 UHX,106.814000,24299488,23,Dinas Kesehatan,,27,Running,ENGINE ON,active,358899051543828,1509018247,26-October-2017 18:44:07,VT-90Z,AGDdki,On Duty,Minibus,20171026,20171026
AM Sangaji-JAKARTA PUSAT (KOTA),DKI JAKARTA,0,4,163,Mar 15 2018 12:00:00:000AM,1,Valid Location,08115931479,,-6.163066,B 1049 UHX,106.812600,24299139,23,Dinas Kesehatan,,0,Stop,ENGINE ON,active,358899051543828,1509017047,26-October-2017 18:24:07,VT-90Z,AGDdki,On Duty,Minibus,20171026,20171026
AM Sangaji-JAKARTA PUSAT (KOTA),DKI JAKARTA,0,4,164,Mar 15 2018 12:00:00:000AM,1,Valid Location,08115931479,,-6.164028,B 1049 UHX,106.812800,24299171,23,Dinas Kesehatan,,0,Stop,ENGINE ON,active,358899051543828,1509017677,26-October-2017 18:34:37,VT-90Z,AGDdki,On Duty,Minibus,20171026,20171026
AM Sangaji-JAKARTA PUSAT (KOTA),DKI JAKARTA,0,4,164,Mar 15 2018 12:00:00:000AM,1,Valid Location,08115931479,,-6.164405,B 1049 UHX,106.813000,24299177,23,Dinas Kesehatan,,0,Stop,ENGINE ON,active,358899051543828,1509017947,26-October-2017 18:39:07,VT-90Z,AGDdki,On Duty,Minibus,20171026,20171026
AM Sangaji-JAKARTA PUSAT (KOTA),DKI JAKARTA,0,4,172,Mar 15 2018 12:00:00:000AM,1,Valid Location,08115931479,,-6.163720,B 1049 UHX,106.812700,24299171,23,Dinas Kesehatan,,0,Stop,ENGINE ON,active,358899051543828,1509017347,26-October-2017 18:29:07,VT-90Z,AGDdki,On Duty,Minibus,20171026,20171026
AMD-JAKARTA SELATAN (KOTA),DKI JAKARTA,0,4,168,Jan  9 2019 12:00:00:000AM,1,Valid Location,08113312379,,-6.304711,B 1076 UHX,106.837900,21022121,57,AGD Dinas Kesehatan,,8,Running,ENGINE ON,active,351608080487262,1508970273,26-October-2017 05:24:33,VT-90Z,AGDdki,On Duty,Minibus,20171026,20171026
Abdul Muis-JAKARTA PUSAT (KOTA),DKI JAKARTA,0,0,349,Nov 20 2018 12:00:00:000AM,1,Valid Location,08113254581,,-6.178328,B 1044 UHX,106.818700,30858176,19,AGD118,,0,Stop And Parking,ENGINE OFF,active,358899051548074,1509000869,26-October-2017 13:54:29,VT-90Z,AGDdki,On Duty,Minibus,20171026,20171026
Abdul Muis-JAKARTA PUSAT (KOTA),DKI JAKARTA,0,0,56,Nov 20 2018 12:00:00:000AM,1,Valid Location,08113254581,,-6.178320,B 1044 UHX,106.818800,30858176,19,AGD118,,0,Stop And Parking,ENGINE OFF,active,358899051548074,1509001169,26-October-2017 13:59:29,VT-90Z,AGDdki,On Duty,Minibus,20171026,20171026
Abdul Muis-JAKARTA PUSAT (KOTA),DKI JAKARTA,0,4,208,Nov 20 2018 12:00:00:000AM,1,Valid Location,08113254581,,-6.179545,B 1044 UHX,106.818200,30860275,19,AGD118,,0,Stop,ENGINE ON,active,358899051548074,1509005946,26-October-2017 15:19:06,VT-90Z,AGDdki,On Duty,Minibus,20171026,20171026
Abdul Muis-JAKARTA PUSAT (KOTA),DKI JAKARTA,0,4,211,Mar 15 2018 03:45:43:580PM,1,Valid Location,08117039925,,-6.176360,B 1050 UHX,106.820100,15206575,24,Dinas Kesehatan,,25,Running,ENGINE ON,active,358899051550690,1509008965,26-October-2017 16:09:25,VT-90Z,AGDdki,On Duty,Minibus,20171026,20171026
